2021-09-16 20:40:43,206 :: INFO :: Line --> 27 :: Inference Game with Model FrozenLake-v1_16-Sep-2021_15-53-31.h5
2021-09-16 20:40:43,206 :: INFO :: Line --> 28 :: --------------------------------------------------------------------------------------------------------------------------------
2021-09-16 20:40:43,887 :: WARNING :: Line --> 629 :: Model was constructed with shape (None, 16) for input KerasTensor(type_spec=TensorSpec(shape=(None, 16), dtype=tf.float32, name='dense_input'), name='dense_input', description="created by layer 'dense_input'"), but it was called on an input with incompatible shape (None, 1, 16).
2021-09-16 20:41:38,492 :: INFO :: Line --> 91 :: episode:25  total reward:9.0  Path Followed:[0, 4, 0, 1, 0, 4, 8, 9, 13, 14]  Action Executed:[2, 0, 2, 3, 2, 0, 3, 1, 2, 1]
2021-09-16 20:41:39,590 :: INFO :: Line --> 91 :: episode:26  total reward:10.0  Path Followed:[0, 1, 2, 3, 3, 2, 2, 6, 10, 9, 13, 13, 14]  Action Executed:[2, 3, 2, 3, 3, 2, 2, 2, 0, 1, 2, 2, 1]
2021-09-16 20:41:41,049 :: INFO :: Line --> 91 :: episode:27  total reward:10.0  Path Followed:[0, 4, 4, 0, 4, 4, 4, 8, 4, 0, 0, 4, 8, 8, 9, 10, 6, 10, 9, 10, 6]  Action Executed:[2, 0, 0, 2, 0, 0, 0, 3, 0, 2, 2, 0, 3, 3, 1, 0, 2, 0, 1, 0, 2]
2021-09-16 20:41:44,079 :: INFO :: Line --> 91 :: episode:28  total reward:10.0  Path Followed:[0, 1, 0, 4, 0, 4, 8, 9, 10, 6, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 6, 2, 3, 3, 3, 2, 3, 3, 2, 2, 6, 2, 6, 10, 6]  Action Executed:[2, 3, 2, 0, 2, 0, 3, 1, 0, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 3, 3, 3, 2, 3, 3, 2, 2, 2, 2, 2, 0, 2]
2021-09-16 20:41:48,677 :: INFO :: Line --> 91 :: episode:29  total reward:11.0  Path Followed:[0, 0, 4, 0, 4, 0, 0, 0, 4, 4, 8, 8, 4, 0, 1, 1, 0, 4, 0, 4, 0, 1, 2, 3, 3, 2, 3, 2, 3, 3, 2, 6, 10, 6, 2, 2, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 2, 2, 6, 10, 6, 2, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 6, 10, 14]  Action Executed:[2, 2, 0, 2, 0, 2, 2, 2, 0, 0, 3, 3, 0, 2, 3, 3, 2, 0, 2, 0, 2, 3, 2, 3, 3, 2, 3, 2, 3, 3, 2, 2, 0, 2, 2, 2, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 2, 2, 2, 0, 2, 2, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 0, 1]
2021-09-16 20:41:49,374 :: INFO :: Line --> 91 :: episode:30  total reward:11.0  Path Followed:[0, 4, 8, 9, 8, 9, 10, 6]  Action Executed:[2, 0, 3, 1, 3, 1, 0, 2]
2021-09-16 20:41:51,561 :: INFO :: Line --> 91 :: episode:31  total reward:11.0  Path Followed:[0, 0, 0, 0, 1, 0, 1, 0, 4, 0, 0, 4, 0, 0, 1, 0, 1, 0, 0, 1, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 6, 10, 6, 2, 2, 2, 6]  Action Executed:[2, 2, 2, 2, 3, 2, 3, 2, 0, 2, 2, 0, 2, 2, 3, 2, 3, 2, 2, 3, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2]
2021-09-16 20:41:53,830 :: INFO :: Line --> 91 :: episode:32  total reward:11.0  Path Followed:[0, 1, 2, 2, 6, 2, 2, 3, 3, 2, 3, 3, 3, 2, 2, 6, 2, 2, 3, 3, 3, 2, 2, 6, 10, 9, 13, 9, 10, 6, 2, 6, 10, 6, 2, 6, 10, 6]  Action Executed:[2, 3, 2, 2, 2, 2, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2, 2, 2, 3, 3, 3, 2, 2, 2, 0, 1, 2, 1, 0, 2, 2, 2, 0, 2, 2, 2, 0, 2]
2021-09-16 20:41:56,705 :: INFO :: Line --> 91 :: episode:33  total reward:11.0  Path Followed:[0, 1, 0, 4, 8, 4, 0, 4, 0, 1, 1, 1, 2, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2, 2, 6, 2, 6]  Action Executed:[2, 3, 2, 0, 3, 0, 2, 0, 2, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2, 2, 2, 2, 2]
2021-09-16 20:41:57,935 :: INFO :: Line --> 91 :: episode:34  total reward:12.0  Path Followed:[0, 0, 1, 0, 4, 4, 8, 4, 8, 9, 10, 9, 10, 14, 13, 14]  Action Executed:[2, 2, 3, 2, 0, 0, 3, 0, 3, 1, 0, 1, 0, 1, 2, 1]
2021-09-16 20:41:59,137 :: INFO :: Line --> 91 :: episode:35  total reward:13.0  Path Followed:[0, 4, 8, 4, 8, 8, 8, 9, 13, 9, 13, 14]  Action Executed:[2, 0, 3, 0, 3, 3, 3, 1, 2, 1, 2, 1]
2021-09-16 20:42:00,366 :: INFO :: Line --> 91 :: episode:36  total reward:13.0  Path Followed:[0, 4, 0, 1, 0, 1, 1, 1, 2, 3, 3, 2, 6]  Action Executed:[2, 0, 2, 3, 2, 3, 3, 3, 2, 3, 3, 2, 2]
2021-09-16 20:42:01,904 :: INFO :: Line --> 91 :: episode:37  total reward:13.0  Path Followed:[0, 0, 1, 2, 3, 3, 3, 2, 3, 3, 2, 3, 3, 3, 3, 3, 2, 6, 2, 2, 6]  Action Executed:[2, 2, 3, 2, 3, 3, 3, 2, 3, 3, 2, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2]
2021-09-16 20:42:03,369 :: INFO :: Line --> 91 :: episode:38  total reward:14.0  Path Followed:[0, 1, 0, 4, 8, 9, 10, 9, 13, 13, 13, 13, 9, 8, 9, 8, 9, 10, 14]  Action Executed:[2, 3, 2, 0, 3, 1, 0, 1, 2, 2, 2, 2, 1, 3, 1, 3, 1, 0, 1]
2021-09-16 20:42:04,395 :: INFO :: Line --> 91 :: episode:39  total reward:14.0  Path Followed:[0, 1, 0, 0, 4, 0, 4, 0, 1, 2, 6]  Action Executed:[2, 3, 2, 2, 0, 2, 0, 2, 3, 2, 2]
2021-09-16 20:42:05,231 :: INFO :: Line --> 91 :: episode:40  total reward:14.0  Path Followed:[0, 4, 0, 1, 2, 6]  Action Executed:[2, 0, 2, 3, 2, 2]
2021-09-16 20:42:09,149 :: INFO :: Line --> 91 :: episode:41  total reward:15.0  Path Followed:[0, 0, 1, 0, 0, 1, 2, 2, 6, 10, 6, 2, 2, 6, 2, 3, 3, 3, 2, 3, 3, 2, 3, 3, 2, 2, 2, 6, 10, 6, 10, 9, 8, 8, 4, 4, 4, 0, 1, 1, 1, 2, 6, 10, 14, 14, 13, 9, 8, 8, 8, 9, 10, 14]  Action Executed:[2, 2, 3, 2, 2, 3, 2, 2, 2, 0, 2, 2, 2, 2, 2, 3, 3, 3, 2, 3, 3, 2, 3, 3, 2, 2, 2, 2, 0, 2, 0, 1, 3, 3, 0, 0, 0, 2, 3, 3, 3, 2, 2, 0, 1, 1, 2, 1, 3, 3, 3, 1, 0, 1]
2021-09-16 20:42:10,744 :: INFO :: Line --> 91 :: episode:42  total reward:15.0  Path Followed:[0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 4, 8, 9, 10, 9, 10, 6, 10, 6, 10, 6]  Action Executed:[2, 3, 2, 3, 3, 3, 3, 2, 2, 2, 0, 3, 1, 0, 1, 0, 2, 0, 2, 0, 2]
2021-09-16 20:42:13,964 :: INFO :: Line --> 91 :: episode:43  total reward:16.0  Path Followed:[0, 4, 4, 4, 4, 8, 4, 4, 4, 8, 4, 0, 0, 4, 8, 8, 8, 4, 4, 8, 4, 4, 0, 4, 0, 0, 4, 8, 8, 4, 0, 4, 8, 9, 8, 9, 8, 8, 9, 13, 13, 13, 14, 14, 14]  Action Executed:[2, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 2, 2, 0, 3, 3, 3, 0, 0, 3, 0, 0, 2, 0, 2, 2, 0, 3, 3, 0, 2, 0, 3, 1, 3, 1, 3, 3, 1, 2, 2, 2, 1, 1, 1]
2021-09-16 20:42:14,623 :: INFO :: Line --> 91 :: episode:44  total reward:16.0  Path Followed:[0, 1, 2, 6, 10, 6]  Action Executed:[2, 3, 2, 2, 0, 2]
2021-09-16 20:42:16,313 :: INFO :: Line --> 91 :: episode:45  total reward:16.0  Path Followed:[0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 4, 0, 1, 2, 3, 3, 3, 3, 2, 3, 2, 6, 2, 6]  Action Executed:[2, 2, 3, 2, 3, 3, 3, 2, 2, 3, 2, 0, 2, 3, 2, 3, 3, 3, 3, 2, 3, 2, 2, 2, 2]
2021-09-16 20:42:18,374 :: INFO :: Line --> 91 :: episode:46  total reward:16.0  Path Followed:[0, 4, 4, 4, 4, 8, 8, 8, 4, 4, 4, 4, 4, 0, 1, 1, 1, 1, 1, 1, 0, 1, 2, 6, 10, 6, 10, 6]  Action Executed:[2, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 2, 3, 3, 3, 3, 3, 3, 2, 3, 2, 2, 0, 2, 0, 2]
2021-09-16 20:42:18,922 :: INFO :: Line --> 91 :: episode:47  total reward:16.0  Path Followed:[0, 1, 2, 6]  Action Executed:[2, 3, 2, 2]
2021-09-16 20:42:20,501 :: INFO :: Line --> 91 :: episode:48  total reward:16.0  Path Followed:[0, 0, 1, 2, 3, 2, 6, 10, 6, 10, 9, 13, 9, 13, 9, 8, 4, 4, 0, 1, 2, 6]  Action Executed:[2, 2, 3, 2, 3, 2, 2, 0, 2, 0, 1, 2, 1, 2, 1, 3, 0, 0, 2, 3, 2, 2]
